Year,Trade Flow Code(1=import),,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Trade Value (US$)
2013,2,export,156,China,CHN,804,Ukraine,UKR,2,Meat and edible meat offal,125557
2013,1,import,156,China,CHN,826,United Kingdom,GBR,2,Meat and edible meat offal,51124191
2013,2,export,156,China,CHN,834,United Rep. of Tanzania,TZA,2,Meat and edible meat offal,814
2013,1,import,156,China,CHN,842,USA,USA,2,Meat and edible meat offal,1177187575
2013,2,export,156,China,CHN,842,USA,USA,2,Meat and edible meat offal,4105312
2013,1,import,156,China,CHN,858,Uruguay,URY,2,Meat and edible meat offal,332120489
2013,2,export,276,Germany,DEU,4,Afghanistan,AFG,2,Meat and edible meat offal,2942787
2013,2,export,276,Germany,DEU,8,Albania,ALB,2,Meat and edible meat offal,1295171
2013,2,export,276,Germany,DEU,24,Angola,AGO,2,Meat and edible meat offal,3612193
2013,2,export,276,Germany,DEU,31,Azerbaijan,AZE,2,Meat and edible meat offal,2126725
2013,1,import,276,Germany,DEU,32,Argentina,ARG,2,Meat and edible meat offal,342756091
2013,2,export,276,Germany,DEU,32,Argentina,ARG,2,Meat and edible meat offal,1659550
2013,1,import,276,Germany,DEU,36,Australia,AUS,2,Meat and edible meat offal,21939703
2013,1,import,276,Germany,DEU,40,Austria,AUT,2,Meat and edible meat offal,442431573
2013,2,export,276,Germany,DEU,40,Austria,AUT,2,Meat and edible meat offal,693807904
2013,2,export,276,Germany,DEU,44,Bahamas,BHS,2,Meat and edible meat offal,265333
2013,2,export,276,Germany,DEU,48,Bahrain,BHR,2,Meat and edible meat offal,7556
2013,1,import,276,Germany,DEU,50,Bangladesh,BGD,2,Meat and edible meat offal,1633
2013,2,export,276,Germany,DEU,51,Armenia,ARM,2,Meat and edible meat offal,585764
2013,2,export,276,Germany,DEU,52,Barbados,BRB,2,Meat and edible meat offal,22027
2013,1,import,276,Germany,DEU,56,Belgium,BEL,2,Meat and edible meat offal,1119309773
2013,2,export,276,Germany,DEU,56,Belgium,BEL,2,Meat and edible meat offal,160489919
2013,2,export,276,Germany,DEU,70,Bosnia Herzegovina,BIH,2,Meat and edible meat offal,16769160
2013,1,import,276,Germany,DEU,72,Botswana,BWA,2,Meat and edible meat offal,5874324
2013,1,import,276,Germany,DEU,76,Brazil,BRA,2,Meat and edible meat offal,227635247
2013,2,export,276,Germany,DEU,76,Brazil,BRA,2,Meat and edible meat offal,265159
2013,2,export,276,Germany,DEU,92,Br. Virgin Isds,VGB,2,Meat and edible meat offal,61757
2013,2,export,276,Germany,DEU,96,Brunei Darussalam,BRN,2,Meat and edible meat offal,258036
2013,1,import,276,Germany,DEU,100,Bulgaria,BGR,2,Meat and edible meat offal,1372240
2013,2,export,276,Germany,DEU,100,Bulgaria,BGR,2,Meat and edible meat offal,70555010
2013,1,import,276,Germany,DEU,112,Belarus,BLR,2,Meat and edible meat offal,21689
2013,2,export,276,Germany,DEU,112,Belarus,BLR,2,Meat and edible meat offal,73022702
2013,2,export,276,Germany,DEU,120,Cameroon,CMR,2,Meat and edible meat offal,1655958
2013,1,import,276,Germany,DEU,124,Canada,CAN,2,Meat and edible meat offal,5010710
2013,2,export,276,Germany,DEU,124,Canada,CAN,2,Meat and edible meat offal,19121765
2013,2,export,276,Germany,DEU,132,Cabo Verde,CPV,2,Meat and edible meat offal,50557
2013,2,export,276,Germany,DEU,144,Sri Lanka,LKA,2,Meat and edible meat offal,1709
2013,2,export,276,Germany,DEU,148,Chad,TCD,2,Meat and edible meat offal,48093
2013,1,import,276,Germany,DEU,152,Chile,CHL,2,Meat and edible meat offal,39289662
2013,2,export,276,Germany,DEU,152,Chile,CHL,2,Meat and edible meat offal,6093
2013,1,import,276,Germany,DEU,156,China,CHN,2,Meat and edible meat offal,25771764
2013,2,export,276,Germany,DEU,156,China,CHN,2,Meat and edible meat offal,320768632
2013,1,import,276,Germany,DEU,170,Colombia,COL,2,Meat and edible meat offal,94
2013,2,export,276,Germany,DEU,170,Colombia,COL,2,Meat and edible meat offal,57075
2013,2,export,276,Germany,DEU,174,Comoros,COM,2,Meat and edible meat offal,801125
2013,2,export,276,Germany,DEU,175,Mayotte,MYT,2,Meat and edible meat offal,874002
2013,2,export,276,Germany,DEU,178,Congo,COG,2,Meat and edible meat offal,5740751
2013,2,export,276,Germany,DEU,180,Dem. Rep. of the Congo,COD,2,Meat and edible meat offal,6813365
2013,1,import,276,Germany,DEU,191,Croatia,HRV,2,Meat and edible meat offal,198725
2013,2,export,276,Germany,DEU,191,Croatia,HRV,2,Meat and edible meat offal,54513141
2013,1,import,276,Germany,DEU,196,Cyprus,CYP,2,Meat and edible meat offal,43507
2013,2,export,276,Germany,DEU,196,Cyprus,CYP,2,Meat and edible meat offal,10014394
2013,1,import,276,Germany,DEU,203,Czechia,CZE,2,Meat and edible meat offal,25361888
2013,2,export,276,Germany,DEU,203,Czechia,CZE,2,Meat and edible meat offal,438303552
2013,2,export,276,Germany,DEU,204,Benin,BEN,2,Meat and edible meat offal,19580071
2013,1,import,276,Germany,DEU,208,Denmark,DNK,2,Meat and edible meat offal,914623475
2013,2,export,276,Germany,DEU,208,Denmark,DNK,2,Meat and edible meat offal,668626268
2013,2,export,276,Germany,DEU,214,Dominican Rep.,DOM,2,Meat and edible meat offal,1060440
2013,1,import,276,Germany,DEU,222,El Salvador,SLV,2,Meat and edible meat offal,67436
2013,2,export,276,Germany,DEU,226,Equatorial Guinea,GNQ,2,Meat and edible meat offal,1304529
2013,1,import,276,Germany,DEU,233,Estonia,EST,2,Meat and edible meat offal,357081
2013,2,export,276,Germany,DEU,233,Estonia,EST,2,Meat and edible meat offal,30198674
2013,2,export,276,Germany,DEU,234,Faeroe Isds,FRO,2,Meat and edible meat offal,334540
2013,1,import,276,Germany,DEU,238,Falkland Isds (Malvinas),FLK,2,Meat and edible meat offal,131043
2013,1,import,276,Germany,DEU,246,Finland,FIN,2,Meat and edible meat offal,2442502
2013,2,export,276,Germany,DEU,246,Finland,FIN,2,Meat and edible meat offal,64623906
2013,1,import,276,Germany,DEU,251,France,FRA,2,Meat and edible meat offal,527327147
2013,2,export,276,Germany,DEU,251,France,FRA,2,Meat and edible meat offal,864469261
2013,2,export,276,Germany,DEU,260,Fr. South Antarctic Terr.,ATF,2,Meat and edible meat offal,39840
2013,2,export,276,Germany,DEU,266,Gabon,GAB,2,Meat and edible meat offal,3571662
2013,2,export,276,Germany,DEU,268,Georgia,GEO,2,Meat and edible meat offal,2789157
2013,2,export,276,Germany,DEU,270,Gambia,GMB,2,Meat and edible meat offal,94852
2013,2,export,276,Germany,DEU,288,Ghana,GHA,2,Meat and edible meat offal,11181908
2013,1,import,276,Germany,DEU,300,Greece,GRC,2,Meat and edible meat offal,1914458
2013,2,export,276,Germany,DEU,300,Greece,GRC,2,Meat and edible meat offal,167029982
2013,2,export,276,Germany,DEU,304,Greenland,GRL,2,Meat and edible meat offal,291
2013,2,export,276,Germany,DEU,324,Guinea,GIN,2,Meat and edible meat offal,778868
2013,2,export,276,Germany,DEU,332,Haiti,HTI,2,Meat and edible meat offal,253049
2013,1,import,276,Germany,DEU,344,"China, Hong Kong SAR",HKG,2,Meat and edible meat offal,74437
2013,2,export,276,Germany,DEU,344,"China, Hong Kong SAR",HKG,2,Meat and edible meat offal,210732207
2013,1,import,276,Germany,DEU,348,Hungary,HUN,2,Meat and edible meat offal,123223169
2013,2,export,276,Germany,DEU,348,Hungary,HUN,2,Meat and edible meat offal,164248465
2013,1,import,276,Germany,DEU,352,Iceland,ISL,2,Meat and edible meat offal,178498
2013,2,export,276,Germany,DEU,352,Iceland,ISL,2,Meat and edible meat offal,2412884
2013,1,import,276,Germany,DEU,360,Indonesia,IDN,2,Meat and edible meat offal,64898
2013,2,export,276,Germany,DEU,360,Indonesia,IDN,2,Meat and edible meat offal,93225
2013,1,import,276,Germany,DEU,364,Iran,IRN,2,Meat and edible meat offal,30150
2013,1,import,276,Germany,DEU,372,Ireland,IRL,2,Meat and edible meat offal,195521455
2013,2,export,276,Germany,DEU,372,Ireland,IRL,2,Meat and edible meat offal,115000092
2013,1,import,276,Germany,DEU,376,Israel,ISR,2,Meat and edible meat offal,7588145
2013,2,export,276,Germany,DEU,376,Israel,ISR,2,Meat and edible meat offal,131331
2013,1,import,276,Germany,DEU,381,Italy,ITA,2,Meat and edible meat offal,391817585
2013,2,export,276,Germany,DEU,381,Italy,ITA,2,Meat and edible meat offal,1471908715
2013,2,export,276,Germany,DEU,384,Côte d'Ivoire,CIV,2,Meat and edible meat offal,7363990
2013,2,export,276,Germany,DEU,388,Jamaica,JAM,2,Meat and edible meat offal,18608
2013,1,import,276,Germany,DEU,392,Japan,JPN,2,Meat and edible meat offal,4579772
2013,2,export,276,Germany,DEU,392,Japan,JPN,2,Meat and edible meat offal,27446683
2013,1,import,276,Germany,DEU,398,Kazakhstan,KAZ,2,Meat and edible meat offal,2797
2013,2,export,276,Germany,DEU,398,Kazakhstan,KAZ,2,Meat and edible meat offal,839908
2013,2,export,276,Germany,DEU,400,Jordan,JOR,2,Meat and edible meat offal,345658
2013,2,export,276,Germany,DEU,404,Kenya,KEN,2,Meat and edible meat offal,149665
2013,1,import,276,Germany,DEU,410,Rep. of Korea,KOR,2,Meat and edible meat offal,23532
2013,2,export,276,Germany,DEU,410,Rep. of Korea,KOR,2,Meat and edible meat offal,107739410
2013,2,export,276,Germany,DEU,414,Kuwait,KWT,2,Meat and edible meat offal,302694
2013,2,export,276,Germany,DEU,417,Kyrgyzstan,KGZ,2,Meat and edible meat offal,5385
